id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,room_type_id,location_id
8.29e+17,Rental unit in New York · ★4.83 · 1 bedroom · 1 bed · 1 bath,501525204,Lucas,Manhattan,Upper East Side,40.7775726,-73.9549139,Entire home/apt,87.0,31,24,2024-01-18,2.32,1,171,24,,2,10
9.86e+17,Rental unit in New York · ★5.0 · 1 bedroom · 1 bed · 1 bath,538145202,Stavros,Manhattan,Hell's Kitchen,40.75961545,-73.99467651,Entire home/apt,420.0,2,14,2024-02-05,3.82,1,202,14,OSE-STRREG-0000266,2,29
6.86e+17,Rental unit in New York · ★4.95 · 1 bedroom · 1 bed · 1 bath,473152486,Frank,Manhattan,Hell's Kitchen,40.76077,-73.98913,Entire home/apt,335.0,3,61,2024-01-28,3.32,1,211,36,Exempt,2,29
9.34e+17,Rental unit in New York · ★4.33 · 1 bedroom · 2 beds · 1 bath,470044717,Holiday Inn Express Times Square,Manhattan,Hell's Kitchen,40.75545682,-73.99264748,Entire home/apt,150.0,1,12,2024-01-22,3.21,2,32,12,Exempt,2,29
35867138.0,Rental unit in New York · ★4.75 · Studio · 2 beds · 1 bath,113723310,MyNyHousing,Manhattan,East Harlem,40.78674,-73.94866,Entire home/apt,120.0,30,12,2024-02-01,0.23,61,310,4,,2,56
5.98e+17,Rental unit in New York · ★4.78 · Studio · 4 beds · 1 bath,388603242,Henri,Manhattan,Midtown,40.747211,-73.987808,Entire home/apt,241.0,1,36,2024-01-22,2.09,13,114,32,Exempt,2,17
9.75e+17,Rental unit in New York · ★4.93 · 1 bedroom · 1 shared bath,108727121,Minghao,Manhattan,Hell's Kitchen,40.76527955,-73.99008683,Private room,200.0,1,14,2024-01-02,3.18,2,228,14,OSE-STRREG-0000090,1,29
9.75e+17,Rental unit in New York · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,108727121,Minghao,Manhattan,Hell's Kitchen,40.76528,-73.98882,Private room,163.0,1,18,2024-01-16,4.15,2,58,18,OSE-STRREG-0000090,1,29
41690071.0,Rental unit in Brooklyn · ★4.88 · 1 bedroom · 1 bed · 1 bath,8654456,James,Brooklyn,Sunset Park,40.64876,-74.00597,Entire home/apt,170.0,30,112,2024-01-01,2.31,1,24,29,OSE-STRREG-0000784,2,4
1.01e+18,Rental unit in New York · ★4.31 · 2 bedrooms · 3 beds · 1 bath,267175603,Sonia,Manhattan,Hell's Kitchen,40.75705,-73.99316,Entire home/apt,197.0,3,13,2024-01-19,4.02,1,61,13,Exempt,2,29
5.64e+17,Rental unit in Queens · ★4.64 · Studio · 1 bed · 1 bath,219517861,Sonder (NYC),Queens,Long Island City,40.74641,-73.94477,Entire home/apt,202.0,2,200,2024-01-25,8.39,84,360,79,Exempt,2,51
20688524.0,Condo in New York · ★4.60 · 2 bedrooms · 3 beds · 1 bath,130239329,Maria Teresa,Manhattan,East Harlem,40.79522,-73.94949,Entire home/apt,100.0,30,15,2024-02-03,0.2,1,180,3,,2,56
9.89e+17,Rental unit in Queens · ★3.80 · 1 bedroom · 3 beds · 1 bath,420975523,Will,Queens,Elmhurst,40.73710293,-73.88547285,Entire home/apt,101.0,2,15,2024-01-05,3.95,4,233,15,Exempt,2,31
27612876.0,Home in Flushing  · ★4.86 · 1 bedroom · 1 bed · 1 private bath,205745676,Liqin,Queens,Flushing,40.75922,-73.81958,Private room,112.0,1,146,2024-01-13,2.18,6,355,48,Exempt,1,62
51917088.0,Townhouse in Brooklyn · ★4.94 · 3 bedrooms · 3 beds · 1 bath,2587748,Atsuko,Brooklyn,Bedford-Stuyvesant,40.68435413,-73.91604997,Entire home/apt,232.0,3,69,2024-01-14,2.48,1,301,24,OSE-STRREG-0000413,2,9
